u,v,osmid,highway,maxspeed,name,oneway,length,geometry,lanes
284317,196127,3366486,residential,30 mph,Fairholme Gardens,FALSE,263.4171478,"LINESTRING (-0.2049693 51.5895533, -0.2050521 51.5897712, -0.2051299 51.5901052, -0.2051227 51.5905201, -0.2050859 51.5907875, -0.2048585 51.5916091, -0.2047466 51.5918913)",
25624045,21539135,680909917,tertiary,20 mph,Dollis Hill Lane,FALSE,56.84773085,"LINESTRING (-0.2361706 51.5603289, -0.2359775 51.5603787, -0.235665 51.5604514, -0.2354094 51.5605219)",
31263511,31263510,4850402,residential,,Denmark Road,FALSE,80.00495976,"LINESTRING (-0.1624348 51.3711309, -0.162669 51.371007, -0.1630114 51.3708259, -0.1631608 51.3707551, -0.1633274 51.3706761)",
336056435,479977317,30448477,residential,20 mph,Forest Court,FALSE,94.7221938,"LINESTRING (0.0174173 51.6279143, 0.0185331 51.6281274, 0.0185527 51.6281502, 0.0185245 51.62825)",
21556564,25696684,1169432765,residential,20 mph,High Road,FALSE,37.11004432,"LINESTRING (-0.1404287 51.6147524, -0.1401699 51.6144599)",
4037024399,4037024398,401268989,residential,20 mph,Bathurst Square,FALSE,48.13884254,"LINESTRING (-0.078595 51.5862962, -0.0792823 51.5862251)",
33612307,2046796475,5030909,trunk,30 mph,Croydon Road,TRUE,33.47886008,"LINESTRING (-0.1336324 51.3685869, -0.1336793 51.3686591, -0.1337544 51.368751, -0.1337719 51.3688175, -0.1337847 51.3688695)",
1956983620,1956991132,185127700,tertiary,20 mph,,FALSE,15.40476233,"LINESTRING (0.1939109 51.5189388, 0.1937056 51.5188852)",
91595900,9207576025,"[1101864274, 10571413]",secondary,30 mph,Wellington Street,FALSE,34.40069572,"LINESTRING (0.0619015 51.4880817, 0.0620412 51.4881382, 0.0623186 51.4882498)",2
2892562283,299190,679347242,primary,20 mph,Putney High Street,FALSE,32.94578951,"LINESTRING (-0.2146218 51.4650196, -0.2145232 51.4651638, -0.2144447 51.4652945)",3
54793315,54793318,7389936,residential,30 mph,Dove Park,FALSE,39.72712836,"LINESTRING (-0.3688973 51.6080371, -0.3687479 51.6077662, -0.3687109 51.6076991)",
171612530,9215193419,"[998034450, 168147516, 998034454, 998179591]",primary,,Whalebone Lane South,FALSE,103.5239352,"LINESTRING (0.1424407 51.5710431, 0.1424134 51.5710871, 0.1423515 51.5713332, 0.1423364 51.5714095, 0.1422085 51.5718437, 0.1421788 51.5719587)",
106817,48705232,56406168,primary,20 mph,Bethnal Green Road,FALSE,65.8286251,"LINESTRING (-0.0646221 51.5264619, -0.0643822 51.5264926, -0.0643109 51.5264995, -0.0642477 51.5265067, -0.063684 51.5265602)",3
1533465544,521660029,42032328,residential,20 mph,Whytecliffe Road North,FALSE,16.53874017,"LINESTRING (-0.1115411 51.3403338, -0.1113791 51.3404428)",
249131434,249131316,23080998,residential,,Javelin Way,FALSE,77.08316716,"LINESTRING (-0.387342 51.5310272, -0.3875276 51.5311198, -0.3880897 51.5314033, -0.3882254 51.531447)",
6102867496,6102867503,650589397,residential,,,FALSE,83.21436403,"LINESTRING (-0.3759646 51.5184652, -0.3759935 51.5183073, -0.3760207 51.5181821, -0.3759888 51.5181152, -0.3759947 51.5180511, -0.3760313 51.5178936, -0.3760704 51.5177641, -0.3760822 51.5177266)",
59347235,5189443094,1104931377,unclassified,,McKillop Way,FALSE,8.772743316,"LINESTRING (0.1186308 51.4139794, 0.1187519 51.4139566)",
36656299,36656298,5214718,residential,,Hansol Road,FALSE,77.19859102,"LINESTRING (0.1314537 51.4535615, 0.131011 51.4529244)",
61275729,31193233,8610064,residential,,Elm Close,FALSE,147.9244444,"LINESTRING (-0.362684 51.5809317, -0.3623117 51.5806437, -0.3621203 51.5806017, -0.3619203 51.5806285, -0.3618077 51.5807003, -0.3613154 51.581225)",
145712474,145712557,24512700,residential,30 mph,Lullington Road,FALSE,47.80802436,"LINESTRING (-0.0701059 51.416212, -0.0703418 51.4160659, -0.0705408 51.4158811)",
6727415234,21373027,1102099176,residential,20 mph,Bridle Road,FALSE,29.00788258,"LINESTRING (-0.0312414 51.3699882, -0.0312691 51.3697279)",2
35787276,35787274,606200845,residential,20 mph,Heath Road,FALSE,74.97857735,"LINESTRING (0.185534 51.4475879, 0.1854283 51.4473199, 0.1853593 51.4471432, 0.1853422 51.446927)",
130269220,130256399,13874277,tertiary,20 mph,Bensham Lane,FALSE,173.8270036,"LINESTRING (-0.1061457 51.3898329, -0.1061375 51.38986, -0.1061203 51.3899283, -0.1060999 51.3900284, -0.1060771 51.3901651, -0.1060461 51.390404, -0.1060298 51.3905033, -0.1060099 51.3905903, -0.1059886 51.3906714, -0.1059312 51.3908168, -0.1058254 51.3910699, -0.1056947 51.3913662)",
227850,250830597,"[901728072, 951580898, 951580899, 901728070]",residential,20 mph,Grafton Road,FALSE,159.8758035,"LINESTRING (-0.1496569 51.5508418, -0.1496857 51.5508755, -0.1497241 51.5509252, -0.1499795 51.5512315, -0.1499926 51.5512493, -0.150017 51.5512831, -0.1500235 51.5512969, -0.1502094 51.5515516, -0.1503553 51.5517357, -0.1506704 51.5521336)",
250983328,250983381,261803916,primary,,,TRUE,10.55502697,"LINESTRING (-0.0275535 51.6172875, -0.02756 51.6173155, -0.027549 51.6173445, -0.0275196 51.6173765)",
54835160,173705672,7413441,tertiary,30 mph,South End Road,FALSE,105.2900845,"LINESTRING (0.1909261 51.5322055, 0.1909429 51.5323012, 0.1909701 51.5323842, 0.1910698 51.5325849, 0.1911092 51.5326649, 0.1911978 51.5328308, 0.1913658 51.5331092)",
110121323,110121079,852777113,residential,20 mph,Edgeley Road,FALSE,62.66440795,"LINESTRING (-0.1359394 51.4671861, -0.1356491 51.466977, -0.1353511 51.466758)",
2700740993,934844867,264396272,trunk,40 mph,Western Avenue,TRUE,32.48131067,"LINESTRING (-0.2495409 51.5139476, -0.2492909 51.5139519, -0.2492181 51.5139516, -0.2490717 51.5139548)",5
257477403,8728691963,1017276753,primary,20 mph,Goldhawk Road,TRUE,16.12621263,"LINESTRING (-0.238013 51.4998725, -0.2381522 51.499873, -0.2382367 51.4998983)",1
416528851,27309337,4450037,residential,,York Avenue,FALSE,100.1174289,"LINESTRING (0.0937832 51.4337344, 0.0938995 51.4335311, 0.0939739 51.4332373, 0.094051 51.4328532)",
254577747,26603763,60145325,primary,30 mph,High Road,FALSE,93.27913923,"LINESTRING (-0.4810493 51.5216578, -0.4806293 51.5211066, -0.4803987 51.5209283)",
196712,10223296475,124989650,primary,30 mph,Golders Green Road,TRUE,40.21388894,"LINESTRING (-0.1960902 51.5719254, -0.1959365 51.5719218, -0.1956187 51.5718718, -0.1955206 51.571859)",
249177253,43037842,5905498,unclassified,20 mph,Prusom Street,FALSE,88.00650585,"LINESTRING (-0.0569313 51.5055533, -0.0569388 51.5055096, -0.0569544 51.5054261, -0.0569859 51.5053322, -0.0571086 51.5052147, -0.0572347 51.5050941, -0.0574895 51.5049329, -0.0575575 51.5048942)",2
12396691680,12396691680,1340159425,residential,20 mph,Alberta Road,FALSE,53.37034237,"LINESTRING (-0.0624729 51.6417285, -0.0624608 51.6417511, -0.0624382 51.6417704, -0.0624071 51.6417844, -0.0623707 51.6417918, -0.0623323 51.6417919, -0.0622957 51.6417847, -0.0622644 51.6417709, -0.0622415 51.6417518, -0.0622291 51.6417293, -0.0622285 51.6417051, -0.0622401 51.6416821, -0.0622626 51.6416624, -0.0622939 51.641648, -0.0623308 51.6416404, -0.0623697 51.6416403, -0.0624068 51.6416477, -0.0624383 51.6416618, -0.0624611 51.6416814, -0.062473 51.6417044, -0.0624729 51.6417285)",
26480475,26480471,252604504,residential,20 mph,Roseneath Road,FALSE,174.0105756,"LINESTRING (-0.1548946 51.4539451, -0.1562285 51.4534622, -0.1562787 51.453449, -0.1563342 51.4534501, -0.1566496 51.4534975, -0.1566979 51.453493, -0.1571386 51.4533663)",
27793018,27791539,223908269,residential,20 mph,North Countess Road,FALSE,75.07178145,"LINESTRING (-0.0260378 51.5980778, -0.0258598 51.5982038, -0.025321 51.5985853)",
426601249,426600872,36698570,residential,,Haven Close,FALSE,36.54984453,"LINESTRING (0.0495466 51.4320748, 0.0496753 51.4321444, 0.0499226 51.4323048)",
32044507,32044992,4907432,residential,20 mph,Glendower Road,FALSE,55.75784027,"LINESTRING (-0.2629157 51.4676061, -0.2629173 51.4675043, -0.2629339 51.4673483, -0.2629462 51.467284, -0.2629795 51.4672243, -0.2630498 51.4671176)",
36487021,36486966,5211145,residential,30 mph,Brook Drive,FALSE,225.3976466,"LINESTRING (-0.3476916 51.59177, -0.3490017 51.5914362, -0.350714 51.5910064)",
1149614019,2021934631,99407186,residential,20 mph,Fieldend,FALSE,97.70558796,"LINESTRING (-0.3363521 51.4337352, -0.3363044 51.4330496, -0.3362835 51.4328576)",
35925711,439661436,603484354,primary,30 mph,Dartford Road,FALSE,37.02193366,"LINESTRING (0.1624715 51.4370716, 0.1622072 51.4370978, 0.1621078 51.4371076, 0.1619427 51.4371174)",
114272500,114272426,12540411,residential,20 mph,Margate Road,FALSE,187.4553556,"LINESTRING (-0.1281609 51.4569534, -0.128109 51.4569608, -0.1277976 51.4570053, -0.1254993 51.4571116, -0.1254712 51.457113)",
4476438396,257066478,23735827,residential,20 mph,,TRUE,17.79962611,"LINESTRING (-0.1672865 51.3493174, -0.16734 51.3493501, -0.1673621 51.3493834, -0.1673646 51.3494193, -0.1673431 51.3494584)",
26418095,5600645651,4339797,residential,20 mph,Tottenham Green East,TRUE,114.460503,"LINESTRING (-0.0703923 51.5865181, -0.0704024 51.5865612, -0.0704034 51.5865968, -0.0704007 51.5866741, -0.0704194 51.5867717, -0.0704326 51.5868838, -0.0704372 51.5869224, -0.0704482 51.5869791, -0.0704608 51.5870437, -0.0705141 51.5871429, -0.070585 51.5872164, -0.0706974 51.5872898, -0.0707946 51.5873396, -0.0708862 51.5873632, -0.0709948 51.5873812)",
21157482,1726593558,204888357,trunk,30 mph,London Road,FALSE,94.06540308,"LINESTRING (-0.2280416 51.3709774, -0.2281359 51.3708685, -0.2283696 51.3706391, -0.2288069 51.370281)",
18292975,1254719345,1074165939,trunk,20 mph,Upper Richmond Road,FALSE,4.225852899,"LINESTRING (-0.2367891 51.4645564, -0.2367295 51.4645483)",2
26740443,26740448,4384288,residential,20 mph,Bridgford Street,FALSE,53.19367738,"LINESTRING (-0.1841952 51.4370327, -0.1845688 51.4374203, -0.1845921 51.4374421)",
11398023565,11398034071,1229073872,residential,,Caroline Close,FALSE,44.60215737,"LINESTRING (-0.4769125 51.5052264, -0.4768905 51.5052376, -0.4768042 51.5052856, -0.476718 51.5053623, -0.4766795 51.5053738, -0.4766271 51.5053642, -0.476416 51.5052779)",
456363900,25472769,"[199672360, 506489666]",primary,20 mph,New Oxford Street,FALSE,23.90537659,"LINESTRING (-0.122873 51.5172746, -0.1229633 51.5172989, -0.1230032 51.517303, -0.1230483 51.5172993, -0.1232073 51.5172829)",2
26145386,26145385,4443621,residential,,Longmead Drive,FALSE,166.1597032,"LINESTRING (0.1251525 51.4347147, 0.1230886 51.4345444, 0.122776 51.4345197)",
7574126651,7581416735,810111697,unclassified,20 mph,Dorset Road,TRUE,9.900647365,"LINESTRING (-0.1177065 51.4784954, -0.1178329 51.478537)",
130239393,130239375,13871827,residential,20 mph,Apple Road,FALSE,109.0076623,"LINESTRING (0.0050598 51.5583258, 0.0044997 51.5580558, 0.0038137 51.5577251)",
391431799,32438670,175274624,residential,,Heron Hill,FALSE,55.65923928,"LINESTRING (0.1433164 51.4845572, 0.1433109 51.4843433, 0.1433056 51.4841372, 0.1432912 51.4840572)",2
245038882,1138300432,"[1134531808, 98390679]",residential,,"['Brooklands Avenue', 'Romside Place']",FALSE,53.09546906,"LINESTRING (0.1747043 51.5812196, 0.1746709 51.5812651, 0.1747463 51.5813233, 0.1744727 51.5816324)",
249086649,249086666,23076771,tertiary,30 mph,Botwell Lane,FALSE,119.812411,"LINESTRING (-0.426342 51.5188625, -0.4271283 51.5179025)",
14419745,14419798,3043614,residential,30 mph,Wolverton Way,FALSE,86.52470218,"LINESTRING (-0.1312022 51.6444066, -0.1306954 51.6445009, -0.1300019 51.6446318)",
268985342,25445757,4819099,tertiary,,Thorncliffe Road,FALSE,140.8707591,"LINESTRING (-0.3798599 51.4925925, -0.3797089 51.4926827, -0.3796579 51.4927078, -0.3795493 51.4927614, -0.379258 51.4928794, -0.3791038 51.4929339, -0.3790062 51.4929595, -0.3784064 51.4931167, -0.3780925 51.4931987)",2
25416246,25416244,8362783,residential,20 mph,Ward Road,FALSE,37.33955352,"LINESTRING (-0.1361855 51.5586441, -0.1364639 51.5585099, -0.1366123 51.5584383)",
423300299,423300300,36280646,residential,20 mph,Baring Road,FALSE,5.216381027,"LINESTRING (0.0208177 51.4290813, 0.020816 51.4291282)",
42068663,42068671,265056027,residential,20 mph,St. Rule Street,FALSE,59.88976419,"LINESTRING (-0.1425091 51.4694973, -0.1424085 51.4692811, -0.142328 51.4691359, -0.1422885 51.4690823, -0.1422529 51.4690459, -0.1422383 51.4690303, -0.1422043 51.4689961)",
104286640,104286593,11661295,residential,20 mph,Masters Drive,FALSE,32.41014626,"LINESTRING (-0.060307 51.4869336, -0.060774 51.4869138)",
11722280716,292741246,1261422524,residential,20 mph,St Thomas's Square,TRUE,7.538236687,"LINESTRING (-0.0553004 51.541886, -0.0551914 51.5418864)",
2519068955,2519068963,48700040,residential,20 mph,Langdon Crescent,FALSE,116.2381801,"LINESTRING (0.064977 51.5307892, 0.0649399 51.5308249, 0.0647868 51.5311728, 0.0647502 51.5312137, 0.064675 51.5312234, 0.0646046 51.5312112, 0.064562 51.5311842, 0.0645555 51.5311416, 0.064721 51.5307329)",
27054481,1744407347,"[895269099, 5027647]",secondary,30 mph,Charlton Park Road,FALSE,119.9657022,"LINESTRING (0.0388081 51.4821497, 0.0390493 51.4821574, 0.0392833 51.4821488, 0.0394703 51.4821309, 0.0396491 51.4821068, 0.040041 51.4820459, 0.0403196 51.4820008, 0.0403987 51.4819897, 0.0405086 51.481978)",2
9759691571,9759691570,1062357004,trunk,30 mph,East India Dock Road,TRUE,30.56456664,"LINESTRING (-0.0184676 51.510925, -0.0185156 51.5109132, -0.0185437 51.5108972, -0.0185748 51.5108831, -0.0186112 51.5108734, -0.0186777 51.5108735, -0.0187459 51.5108793, -0.0188777 51.5109059)",2
2415396332,2415396330,233184795,residential,20 mph,,FALSE,22.22658789,"LINESTRING (-0.0419248 51.4804458, -0.041609 51.4804815)",
858977172,858977123,72299562,residential,30 mph,Grovebury Court,FALSE,76.8617716,"LINESTRING (-0.1293838 51.6387654, -0.1282927 51.6389042)",
25378043,25378041,4259688,residential,20 mph,Gayfere Street,TRUE,92.74698916,"LINESTRING (-0.1277041 51.4969337, -0.1276141 51.4962011, -0.1274857 51.4961421)",
7704087207,647482,2954851,residential,20 mph,Dermody Road,FALSE,23.01825366,"LINESTRING (-0.0054536 51.4564386, -0.0056424 51.4563945, -0.0057689 51.4563743)",2
102961353,102961354,27125047,residential,20 mph,Bidwell Street,FALSE,35.62463014,"LINESTRING (-0.0584497 51.4717745, -0.0588141 51.4720006)",
7925145188,1678968495,"[849453029, 849453030]",unclassified,20 mph,Green Lane,FALSE,163.7806705,"LINESTRING (-0.2378832 51.3863708, -0.2377949 51.3864409, -0.2377572 51.3864659, -0.2376987 51.3864947, -0.2376288 51.3865212, -0.2375057 51.3865595, -0.237396 51.3865916, -0.235779 51.3870048)",2
6355841873,248742995,"[678810417, 56000692]",residential,,Bluebell Close,FALSE,24.60252891,"LINESTRING (0.1789607 51.559037, 0.1789024 51.5591472, 0.1787554 51.5591994)",
25257618,26652117,"[1135566096, 211557609, 1135566095]",primary,20 mph,Piccadilly,TRUE,41.23144436,"LINESTRING (-0.1376352 51.50883, -0.1372739 51.5089396, -0.1371998 51.5089629, -0.1371211 51.5089858, -0.1370994 51.5089921)","['1', '2']"
8448286881,11640595852,1252304977,residential,,,FALSE,7.105133957,"LINESTRING (-0.1841481 51.532991, -0.1842334 51.5329554)",
147815380,147815124,14963971,residential,,Malford Grove,FALSE,109.5530352,"LINESTRING (0.0183372 51.5852611, 0.0183493 51.5854789, 0.0183731 51.5856824, 0.0183827 51.5857649, 0.0185321 51.5862364)",
248885251,248885082,23063867,residential,,Greenstead Avenue,FALSE,83.79722569,"LINESTRING (0.0392721 51.6048414, 0.0388003 51.604527, 0.0385943 51.6044064, 0.0384312 51.6042985)",
25975430,25975424,969241251,residential,,Burnt Oak Lane,FALSE,249.3872828,"LINESTRING (0.1047024 51.4395522, 0.1047017 51.4395279, 0.104707 51.4394327, 0.1047159 51.4393538, 0.104764 51.4390495, 0.1047667 51.4390184, 0.1047669 51.4389356, 0.1047649 51.4388591, 0.1047634 51.4388418, 0.1047605 51.4388268, 0.1047525 51.438801, 0.1047452 51.4387922, 0.1047317 51.4387786, 0.1047185 51.4387646, 0.1047061 51.4387534, 0.1046927 51.4387447, 0.1046581 51.4387323, 0.1046095 51.4387257, 0.1033763 51.4386174, 0.1024338 51.4385729)",
666265132,9974574125,52394567,residential,30 mph,Gautrey Square,FALSE,40.22032855,"LINESTRING (0.056284 51.5121131, 0.0564154 51.5120996, 0.0563647 51.5119086, 0.0562296 51.5119226)",
10174276098,12100814196,1112107777,primary,20 mph,Burnt Ash Hill,TRUE,20.64943757,"LINESTRING (0.0144114 51.4465297, 0.0145268 51.4464583, 0.0146121 51.4463928)",4
265257657,28796462,662954626,tertiary,20 mph,Capworth Street,FALSE,23.59070707,"LINESTRING (-0.0156992 51.5708815, -0.0159851 51.5707656)",2
11693759137,11693759130,1257799930,tertiary,20 mph,,TRUE,1.399326128,"LINESTRING (-0.3806878 51.4847966, -0.3806979 51.4848075)",1
4463174447,4463174400,502941828,tertiary,,Carterhatch Lane,TRUE,31.65907109,"LINESTRING (-0.0619663 51.6606132, -0.0620093 51.6605972, -0.0620586 51.6605913, -0.062108 51.6605963, -0.062168 51.660621, -0.0621945 51.6606474, -0.0622049 51.6606778, -0.0621979 51.6607086, -0.0621743 51.660736, -0.0621487 51.6607518)",
223485059,223485046,298849893,tertiary,30 mph,Faggs Road,FALSE,121.8821234,"LINESTRING (-0.4172386 51.4650646, -0.4172032 51.4650161, -0.4166747 51.4644267, -0.4163806 51.4641079)",2
34182495,34182497,5067968,residential,30 mph,Wolmer Gardens,FALSE,161.8391415,"LINESTRING (-0.2764517 51.6283302, -0.2770383 51.628041, -0.2775087 51.6277572, -0.2781009 51.6273044)",
36511114,32551155,49777525,tertiary,20 mph,Greenford Avenue,FALSE,98.22810814,"LINESTRING (-0.3381049 51.5179369, -0.3383574 51.5188062)",2
87332006,87331072,10054566,residential,20 mph,Kersey Drive,FALSE,50.67753302,"LINESTRING (-0.0526042 51.3336967, -0.0527509 51.3336594, -0.0531972 51.3336755, -0.0533165 51.3336967)",1
2137773621,2137757489,203782876,unclassified,,,FALSE,441.8201154,"LINESTRING (0.3084486 51.5564754, 0.3085505 51.556432, 0.3086204 51.556427, 0.3087276 51.5564193, 0.3091245 51.5564654, 0.3101599 51.5566957, 0.312193 51.5570764, 0.3127562 51.5571609, 0.314589 51.5574291)",
303122,303124,1134802907,tertiary,20 mph,Linkfield Road,FALSE,218.7939002,"LINESTRING (-0.3327786 51.4729896, -0.3322155 51.472822, -0.3313453 51.4725802, -0.3302785 51.4722647, -0.3299117 51.4721637)",
243463986,243463985,275659464,residential,20 mph,Wilton Avenue,FALSE,197.9924038,"LINESTRING (-0.2512839 51.4902211, -0.2538475 51.4894321)",
1685760107,8986747960,156311092,secondary,20 mph,Bath Street,FALSE,110.256142,"LINESTRING (-0.0911594 51.5267702, -0.0911274 51.5266616, -0.0909966 51.5262013, -0.0909803 51.5261524, -0.0908881 51.5258548, -0.0908697 51.5257952)",2
2022763930,27079254,8407548,residential,20 mph,Briton Hill Road,FALSE,132.4294887,"LINESTRING (-0.0801141 51.3416166, -0.0807317 51.341724, -0.0816541 51.3418463, -0.0818297 51.3418528, -0.0819745 51.3418385)",
31365546,21652087,4860611,residential,,Trafalgar Terrace,FALSE,9.563202772,"LINESTRING (-0.3412471 51.5735093, -0.3413413 51.5735723)",
206894363,206894362,161635414,residential,,Devon Way,FALSE,77.5732676,"LINESTRING (-0.3133272 51.3679955, -0.3143952 51.3677903)",
147775594,147729265,48564892,primary,,High Street,FALSE,67.25785959,"LINESTRING (0.0832632 51.5916411, 0.083562 51.5919765, 0.0837373 51.5921694)",
23769935,23769916,1070322346,primary,30 mph,Malden Road,FALSE,51.50970482,"LINESTRING (-0.2511842 51.3844149, -0.250678 51.3840761)",
9698077934,12197724,"[767530624, 245608732]",trunk,20 mph,Grosvenor Place,FALSE,78.10361821,"LINESTRING (-0.1484814 51.4997436, -0.1483028 51.4996042, -0.1480819 51.4993914, -0.148014 51.499326, -0.1479044 51.4992186, -0.1478492 51.4991627)","['4', '5']"
32569724,32569723,4943026,residential,20 mph,Hayward Close,FALSE,41.22083434,"LINESTRING (-0.1911685 51.4155199, -0.1911407 51.4152614, -0.1911499 51.4151863, -0.1911731 51.415153)",
34595437,96060686,627282252,primary,30 mph,High Road Leyton,FALSE,10.85442618,"LINESTRING (-0.0073754 51.5589216, -0.0074717 51.5589987)",2
31047265,2046796533,194171237,residential,,Guy Road,FALSE,14.23281113,"LINESTRING (-0.1349844 51.3693196, -0.1351588 51.3692523)",
7934678022,7934678023,850513150,residential,,Beaulieu Close,FALSE,22.78627108,"LINESTRING (-0.3801438 51.4609653, -0.3800198 51.4607755)",
1648251032,1648251024,475562908,tertiary,,Hatton Road,FALSE,26.53387756,"LINESTRING (-0.440367 51.4526563, -0.4404247 51.4524204)",
241781603,241781639,566442674,tertiary,20 mph,The Avenue,FALSE,53.69737212,"LINESTRING (0.006305 51.6142935, 0.0060132 51.6139737, 0.0059356 51.6138689)",
256633005,249567867,23116655,residential,20 mph,Robin Grove,FALSE,83.56428509,"LINESTRING (-0.3121977 51.4863403, -0.3121286 51.4863591, -0.3111583 51.4867215)",
521895670,252195872,175646793,residential,20 mph,Malden Green Avenue,FALSE,35.09744406,"LINESTRING (-0.2491623 51.3839487, -0.2486589 51.3839791)",
129994323,7756885953,13857227,residential,20 mph,Hotham Street,FALSE,47.9737579,"LINESTRING (0.003006 51.5360378, 0.0035301 51.5361691, 0.0035702 51.5360931)",
611820491,30492057,4772456,residential,20 mph,Fauconberg Road,FALSE,1.415664524,"LINESTRING (-0.2695285 51.4851048, -0.2695467 51.4851106)",
12065144007,91761484,667354406,residential,20 mph,Eaglesfield Road,FALSE,98.97527616,"LINESTRING (0.0701388 51.473716, 0.0701835 51.4736401, 0.0702305 51.4735613, 0.0702864 51.4735004, 0.070359 51.4734396, 0.071044 51.4730478)",
68899168,21725387,678038613,secondary,30 mph,Long Lane,FALSE,60.23379298,"LINESTRING (-0.4472655 51.5566605, -0.4476663 51.5565048, -0.4479619 51.5563385)",
68894599,68893767,493939755,residential,20 mph,Ryefield Avenue,FALSE,302.9865376,"LINESTRING (-0.4397885 51.5442813, -0.4403926 51.5447528, -0.4406518 51.544955, -0.44083 51.5450941, -0.4410851 51.5452932, -0.4411918 51.545366, -0.4418919 51.5458438, -0.442635 51.5463508)",
265923479,265923450,24462722,residential,20 mph,Rotterdam Drive,FALSE,150.8058705,"LINESTRING (-0.007194 51.493909, -0.0073338 51.4941164, -0.0074122 51.4941604, -0.0074663 51.4942136, -0.0075281 51.4942461, -0.0076453 51.4944273, -0.0077523 51.4945819, -0.0079027 51.4948045, -0.0079907 51.4949346, -0.0080401 51.4949698, -0.0080819 51.4950335, -0.0081366 51.4951172)",
